freq	citizen	unit	geo	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A	NAT	P_HTHAB	LT	246.22 	268.13 	287.69 	320.78 	320.14 	306.60 	287.99 	247.39 	232.09 	227.71 	226.42 	215.09 	186.75 	175.95 	171.31 	153.92 
A	NAT	P_HTHAB	LU	42.58 	44.17 	43.42 	36.93 	38.11 	37.61 	29.29 	31.09 	31.41 	32.34 	27.41 	25.25 	23.96 	26.78 	24.17 	22.25 
A	NAT	P_HTHAB	LV	295.01 	322.26 	219.57 	214.16 	201.49 	250.42 	232.73 	216.66 	208.28 	188.25 	177.73 	174.43 	160.35 	165.06 	167.93 	167.60 
A	NAT	P_HTHAB	ME	189.75 	228.47 	216.80 	201.02 	182.01 	133.68 	120.51 	154.32 	134.84 	149.75 	152.81 	144.33 	109.03 	123.56 	142.79 	140.59 
A	NAT	P_HTHAB	MK	: 	105.44 	: 	: 	: 	: 	: 	: 	141.36 	139.75 	: 	: 	: 	: 	105.38 	115.80 
A	NAT	P_HTHAB	MT	: 	: 	: 	: 	: 	: 	: 	1.40 	70.16 	74.30 	79.46 	73.75 	65.30 	58.71 	56.63 	59.59 
A	NAT	P_HTHAB	NL	71.87 	69.82 	69.47 	67.62 	65.35 	61.46 	58.02 	53.00 	51.65 	51.62 	52.77 	54.38 	50.11 	51.67 	49.92 	50.62 
A	NAT	P_HTHAB	NO	: 	: 	: 	: 	55.88 	51.95 	54.27 	50.94 	53.56 	52.70 	47.79 	46.02 	47.06 	50.73 	51.54 	46.33 
A	NAT	P_HTHAB	PL	221.52 	223.29 	215.13 	216.16 	223.03 	209.25 	207.28 	189.90 	188.44 	193.92 	189.00 	193.04 	176.74 	186.38 	185.62 	196.31 
A	NAT	P_HTHAB	PT	81.65 	83.65 	87.23 	95.84 	104.45 	110.96 	112.26 	114.42 	112.27 	110.80 	107.40 	106.67 	94.53 	97.41 	102.28 	97.65 
A	NAT	P_HTHAB	RO	126.10 	129.71 	130.63 	142.37 	157.46 	166.03 	149.91 	141.24 	137.41 	117.92 	105.16 	104.78 	111.37 	118.55 	119.91 	122.80 
A	NAT	P_HTHAB	RS	129.50 	147.01 	149.10 	150.05 	138.80 	134.78 	139.73 	136.50 	145.75 	148.53 	150.74 	154.07 	146.59 	147.48 	152.90 	165.21 
A	NAT	P_HTHAB	SE	: 	: 	: 	: 	45.47 	40.50 	31.05 	30.44 	30.02 	29.09 	30.37 	33.43 	36.89 	41.02 	44.58 	51.45 
A	NAT	P_HTHAB	SI	: 	: 	: 	55.60 	59.11 	59.01 	66.57 	61.47 	57.65 	: 	55.98 	53.58 	49.29 	36.84 	46.32 	44.88 
A	NAT	P_HTHAB	SK	: 	169.96 	182.44 	191.58 	196.95 	176.77 	181.74 	179.51 	180.31 	180.47 	185.28 	188.96 	188.72 	180.28 	175.39 	169.82 
A	NAT	P_HTHAB	TR	: 	159.49 	162.74 	170.92 	177.23 	191.73 	204.07 	224.53 	249.28 	284.32 	317.12 	343.33 	309.72 	341.78 	385.29 	327.74 
A	NAT	P_HTHAB	UKC-L	129.42 	128.74 	127.96 	130.51 	129.85 	127.08 	129.35 	130.25 	128.89 	129.29 	124.43 	: 	: 	: 	: 	: 
A	NAT	P_HTHAB	UKM	145.76 	146.71 	144.49 	149.70 	146.41 	143.34 	142.22 	139.06 	: 	: 	: 	: 	: 	: 	: 	: 
A	NAT	P_HTHAB	UKN	78.97 	78.04 	75.82 	84.61 	85.98 	90.44 	85.78 	71.73 	69.41 	68.89 	67.49 	: 	: 	: 	: 	: 
A	NAT	P_HTHAB	XK	: 	: 	: 	76.92 	: 	: 	: 	: 	87.94 	83.77 	82.57 	94.95 	72.61 	: 	: 	: 
A	TOTAL	NR	AL	4916 	4667 	4657 	4659 	4618 	4998 	5689 	5981 	6031 	5674 	5316 	5045 	4614 	4956 	5060 	5017 
A	TOTAL	NR	AT	8248 	8708 	8540 	8770 	8805 	8862 	8692 	8665 	8619 	8852 	9163 	9072 	8488 	8436 	8993 	9089 
A	TOTAL	NR	BA	: 	: 	2743 	2757 	: 	2898 	2825 	2730 	2832 	2820 	4377 	4482 	4097 	4108 	4081 	3498 
A	TOTAL	NR	BE	9811 	10126 	10526 	11040 	11183 	11818 	: 	10994 	: 	10471 	10261 	10794 	10357 	10769 	11050 	11983 
A	TOTAL	NR	BG	9408 	9006 	9379 	9885 	9493 	8834 	7870 	7408 	7345 	6988 	6651 	6448 	6251 	5873 	5577 	5526 
